Trial ID,Arm,Drug/Radiation Modality,Sequence,Dose/Timing,Notes
"ACNS0333","Arm II (Chemo→RT→PBSC)","Intensive induction chemo + stem cell harvest → **early 3D-CRT** → high-dose chemo with PBSC rescue","Induction (2 cycles) → **Radiation** → Consolidation (3 high-dose chemo + PBSC)","Same induction as Arm I:contentReference[oaicite:42]{index=42}:contentReference[oaicite:43]{index=43}; 3D-CRT (~50 Gy) after induction:contentReference[oaicite:44]{index=44}; then 3 cycles carboplatin/thiotepa with PBSC rescue:contentReference[oaicite:45]{index=45}:contentReference[oaicite:46]{index=46}","ACNS0333 **Arm II**: radiation given immediately after induction, followed by high-dose chemo:contentReference[oaicite:47]{index=47} (for older infants: ≥6m infratentorial or ≥12m supratentorial M0):contentReference[oaicite:48]{index=48}. Trial goal: compare timing of radiation in AT/RT therapy:contentReference[oaicite:49]{index=49}"
"ACNS0334","Arm I (Regimen with no HD MTX)","Intensive induction chemotherapy (no high-dose methotrexate) → high-dose consolidation chemo with stem cell rescue","Induction (3 cycles vincristine/cisplatin/etoposide/cyclophosphamide) → Consolidation (3 cycles high-dose thiotepa+carboplatin with PBSC transplant)","Induction Arm I: vincristine (d1,8,15), etoposide 5 days, cyclophosphamide 2 days, cisplatin d3:contentReference[oaicite:50]{index=50} (21-day courses ×3) with G-CSF support:contentReference[oaicite:51]{index=51}; **no** methotrexate","COG ACNS0334: Infant (<3y) medulloblastoma/PNET trial of intensive chemo ± methotrexate:contentReference[oaicite:52]{index=52}. All patients: no upfront radiation (delayed until ≥3y):contentReference[oaicite:53]{index=53}; Arm I is chemotherapy backbone CCG-99703:contentReference[oaicite:54]{index=54} without MTX"
"ACNS0334","Arm II (Regimen with HD MTX)","Induction chemotherapy **with high-dose methotrexate** → high-dose consolidation chemo with PBSC rescue","Induction (3 cycles with methotrexate) → Consolidation (3 cycles thiotepa+carboplatin with PBSC)","Induction Arm II: incorporates HD methotrexate (5 g/m² d1) + leucovorin rescue:contentReference[oaicite:55]{index=55} before etoposide/cyclophos/cisplatin (given after MTX clearance):contentReference[oaicite:56]{index=56}, for 3 courses","ACNS0334 experimental arm adding methotrexate to induction for infants:contentReference[oaicite:57]{index=57}. Trial tested if HD-MTX improves EFS in <3y medulloblastoma (non-desmoplastic) – result: no clear benefit (published 2022):contentReference[oaicite:58]{index=58}"
"ACNS0423","Single arm","Temozolomide (TMZ) + radiation → adjuvant Temozolomide + Lomustine (CCNU) chemotherapy","Concurrent chemoradiation → Adjuvant chemotherapy ×6 cycles","Radiation: 54–59.4 Gy to tumor (brain HGG) with TMZ 90 mg/m² daily ×42 days:contentReference[oaicite:59]{index=59}:contentReference[oaicite:60]{index=60}; Adjuvant q6-week cycles ×6: CCNU 90 mg/m² (day 1) + TMZ 160 mg/m²/day ×5:contentReference[oaicite:61]{index=61}:contentReference[oaicite:62]{index=62}","COG ACNS0423 Phase II for newly diagnosed high-grade glioma (non-brainstem):contentReference[oaicite:63]{index=63}; all patients received Stupp regimen + CCNU. Adding lomustine improved 3-yr EFS vs historical TMZ-alone data:contentReference[oaicite:64]{index=64}:contentReference[oaicite:65]{index=65}"
"ACNS0621","Single arm","Vorinostat (HDAC inhibitor) + radiation therapy","Concurrent targeted therapy + RT","Vorinostat 230 mg/m²/day, 5 days/week during RT (6-week course):contentReference[oaicite:66]{index=66}","COG ACNS0621 Phase I/II for DIPG (brainstem glioma) – evaluated safety of vorinostat with radiation:contentReference[oaicite:67]{index=67}. Established vorinostat dose 230 mg/m² for concurrent use"
"ACNS0821","Temozolomide+Irinotecan (TI arm)","Temozolomide + Irinotecan (no bevacizumab) – chemotherapy only","Repeated 28-day cycles for relapse therapy","Temozolomide 200 mg/m²/day PO ×5 days; Irinotecan 10 mg/m² IV ×5 days for 2 weeks (days 1–5 & 8–12):contentReference[oaicite:68]{index=68}:contentReference[oaicite:69]{index=69}","COG ACNS0821 Phase II recurrent medulloblastoma/CNS-PNET:contentReference[oaicite:70]{index=70}; Control arm TI. Objective: compare TI vs TI+Bevacizumab:contentReference[oaicite:71]{index=71}"
"ACNS0821","Temozolomide+Irinotecan+Bev (TIB arm)","Temozolomide + Irinotecan + Bevacizumab (anti-VEGF mAb)","Repeated 28-day cycles for relapse therapy","Same TMZ+Irinotecan as control plus Bevacizumab 10 mg/kg IV on Days 1 and 15 of cycle:contentReference[oaicite:72]{index=72}:contentReference[oaicite:73]{index=73}","Experimental arm TIB. **Result**: Adding bevacizumab improved overall survival in recurrent medulloblastoma:contentReference[oaicite:74]{index=74} (TIB > TI) with manageable toxicity:contentReference[oaicite:75]{index=75}"
"ACNS0822","Arm I (Vorinostat + RT)","Vorinostat (HDAC inhibitor) + focal radiation therapy → adjuvant chemotherapy","Concurrent vorinostat during RT → Adjuvant maintenance (temozolomide)","Vorinostat 230 mg/m²/day on RT days:contentReference[oaicite:76]{index=76}; after RT: 6 cycles of TMZ-based chemo (e.g. TMZ 200 mg/m² ×5 q28d)","COG ACNS0822 randomized Phase II/III for newly diagnosed high-grade glioma:contentReference[oaicite:77]{index=77}. **Arm I**: vorinostat during RT. All arms received post-RT TMZ chemotherapy:contentReference[oaicite:78]{index=78}. No significant benefit seen for vorinostat arm:contentReference[oaicite:79]{index=79}"
"ACNS0822","Arm II (Temozolomide + RT)","Temozolomide + focal radiation therapy → adjuvant chemotherapy","Concurrent TMZ during RT → Adjuvant TMZ (maintenance)","TMZ 75–90 mg/m²/day during 6 weeks RT:contentReference[oaicite:80]{index=80}; adjuvant TMZ 6 cycles (200 mg/m² ×5 q28d)","Control arm (standard Stupp regimen):contentReference[oaicite:81]{index=81}. All patients got concurrent and maintenance TMZ; served as reference arm – 2-year EFS ~30% in pediatric HGG"
"ACNS0822","Arm III (Bevacizumab + RT)","Bevacizumab (VEGF antibody) + focal radiation therapy → adjuvant chemotherapy","Concurrent bevacizumab during RT → Adjuvant chemotherapy","Bevacizumab 10 mg/kg IV q2 weeks during RT; after RT: 6 cycles maintenance TMZ (±Bev)","Experimental arm with bevacizumab. Trial showed no EFS/OS advantage vs TMZ alone:contentReference[oaicite:82]{index=82}:contentReference[oaicite:83]{index=83}; concurrent bevacizumab not superior:contentReference[oaicite:84]{index=84}"
"ACNS0831","Arm II (RT + chemotherapy)","Maximal resection + conformal radiation + maintenance chemotherapy (VCEC regimen)","Surgery → Radiation (immediate post-op) → Maintenance chemo ×4 cycles","Radiation: focal conformal RT (~59.4 Gy) within 31 days post-surgery:contentReference[oaicite:85]{index=85}; Maintenance chemo: 4 cycles “VCEC” – vincristine, cisplatin, etoposide, cyclophosphamide:contentReference[oaicite:86]{index=86}:contentReference[oaicite:87]{index=87}","COG ACNS0831 Phase III for newly diagnosed intracranial ependymoma (ages 1–21):contentReference[oaicite:88]{index=88}. Completely resected patients randomized to receive post-RT chemo (Arm II) vs observation:contentReference[oaicite:89]{index=89}:contentReference[oaicite:90]{index=90}"
"ACNS0831","Arm III (RT + observation)","Maximal resection + conformal radiation therapy only (no adjuvant chemo)","Surgery → Radiation → Observation (no chemo)","Radiation ~59.4 Gy to tumor bed; serial MRIs for surveillance","Standard therapy arm for ependymoma: surgery + radiation alone:contentReference[oaicite:91]{index=91}. Trial is assessing benefit of adding maintenance chemo post-RT:contentReference[oaicite:92]{index=92}; preliminary results pending (as of 2025):contentReference[oaicite:93]{index=93}"
"ANBL0531","Group 2 (Intermediate-risk NBL)","Multi-agent chemotherapy + surgery (no radiation, no transplant)","Induction chemo (4–6 cycles) → Surgery ± chemo","Carboplatin, etoposide, cyclophosphamide, doxorubicin, and vincristine per COG intermediate-risk regimen:contentReference[oaicite:94]{index=94}","COG ANBL0531 intermediate-risk neuroblastoma:contentReference[oaicite:95]{index=95}. Group 2: patients with favorable biology, <18m with certain features; therapy moderate intensity (no stem cell transplant):contentReference[oaicite:96]{index=96}"
"ANBL0531","Group 3 (Intermediate-risk NBL)","Multi-agent chemotherapy + surgery","Induction chemo (6–8 cycles) → Surgery ± chemo","Same drugs as Group 2, slightly intensified (additional cycles):contentReference[oaicite:97]{index=97}","Intermediate-risk neuroblastoma with less favorable features requiring more intensive chemo:contentReference[oaicite:98]{index=98}"
"ANBL0532","Arm A (High-risk NBL single transplant)","Induction chemo → Surgery → **Single** myeloablative chemo + auto stem cell transplant → Radiation → Immunotherapy","Induction (5 cycles) → HD chemo + transplant ×1 → RT → Anti-GD2 immunotherapy","Single transplant consolidation: high-dose carboplatin/etoposide/melphalan (CEM) ×1:contentReference[oaicite:99]{index=99}; followed by 21 Gy RT to primary; then 6 cycles dinutuximab (anti-GD2) immunotherapy","COG ANBL0532 high-risk neuroblastoma trial. Randomized tandem vs single transplant:contentReference[oaicite:100]{index=100}; Arm A = single autologous stem cell transplant:contentReference[oaicite:101]{index=101}"
"ANBL0532","Arm B (High-risk NBL tandem transplants)","Induction chemo → Surgery → **Tandem** myeloablative chemo + transplants → Radiation → Immunotherapy","Induction → HD chemo + transplant ×2 → RT → Immunotherapy","Tandem transplant: e.g. Thiotepa/cyclophosphamide then CEM regimen (2 consecutive HD chemo with stem cell rescue):contentReference[oaicite:102]{index=102}; then local RT and dinutuximab immunotherapy as in Arm A","Experimental arm with tandem autologous transplants:contentReference[oaicite:103]{index=103}. Outcome: tandem HSCT improved 3-year EFS in high-risk NBL:contentReference[oaicite:104]{index=104}"
"ANBL1531","Arm A (Chemo→HSCT→XRT)","Induction chemo → Surgical resection → Single transplant → Radiation","Induction → High-dose chemo + transplant → RT → (Arm B includes immunotherapy)","Induction per high-risk NBL; HD chemo (busulfan/melphalan) ×1; 21 Gy RT to primary","COG ANBL1531: comparing immunotherapy timing in high-risk NBL. Arm A: immunotherapy deferred (chemo/HSCT/RT only) vs Arm B: includes immunotherapy upfront"
"ANHL0131","Experimental (Vinblastine added)","Chemotherapy (FAB/LMB96 regimen) + **vinblastine** added in consolidation phase","Induction → CNS prophylaxis → Consolidation","Standard LMB protocol for intermediate-risk NHL (cyclophosphamide, vincristine, prednisone, doxorubicin, etc.) plus vinblastine in consolidation:contentReference[oaicite:105]{index=105}","COG ANHL0131 Phase III for intermediate-risk pediatric NHL; tested adding vinblastine in consolidation:contentReference[oaicite:106]{index=106} – outcome: no EFS benefit."
"AREN0532","Very Low/Low Risk Wilms","Nephrectomy ± limited chemo (vincristine, dactinomycin)","Surgery → 2-drug chemotherapy (Regimen EE-4A)","Vincristine IV weekly ×10 weeks; Dactinomycin IV q3 weeks ×6 weeks:contentReference[oaicite:107]{index=107}","COG AREN0532 for low-risk Wilms tumor: 2-drug regimen, no radiation for Stage I FH tumors <550g. Excellent outcomes with surgery + vincristine/dactinomycin."
"AREN0533","Higher Risk Wilms (Stage III/IV FH)","Intensive chemotherapy + radiation (Regimen DD4A + lung RT if indicated)","Surgery → Chemotherapy (vincristine, dactinomycin, doxorubicin) + radiation → Maintenance chemo","Week 1–6: Vincristine/Dactinomycin/Doxorubicin; flank RT 10.8 Gy (if Stage III); lung RT 12 Gy if lung mets:contentReference[oaicite:108]{index=108}; total 25 weeks therapy","COG AREN0533 for Stage III/IV favorable-histology Wilms; used 3-drug DD4A regimen with added cyclophosphamide/etoposide for slow responders. All Stage III/IV received abdominal RT:contentReference[oaicite:109]{index=109}"
"CCG-99701","Regimen A (Reduced dose-intensity)","Post-op CSI (36 Gy) + 8 cycles chemotherapy (vincristine, cisplatin, CCNU, prednisone) **without** CSI intensification","Post-op RT → Maintenance chemotherapy ×8 cycles","Standard-risk medulloblastoma: CSI 36 Gy + boost 20 Gy; chemo q6wks ×8 (CCNU 75 mg/m², cisplatin 75 mg/m², vincristine):contentReference[oaicite:110]{index=110}","Children’s Cancer Group (CCG-99701) trial; compared standard vs intensified chemo in average-risk MB:contentReference[oaicite:111]{index=111}. Regimen A: conventional chemo"
"CCG-99701","Regimen B (Intensified + stem cell)","Post-op CSI (36 Gy) + **intensive chemo** (with stem cell support)","Post-op RT → 3 cycles high-dose chemo + autologous stem cell rescue","After CSI 36 Gy, 3 cycles high-dose chemo (e.g. cyclophosphamide/etoposide/carboplatin) each followed by PBSC infusion:contentReference[oaicite:112]{index=112}","CCG-99701 tested feasibility of carboplatin during RT and intensive chemo:contentReference[oaicite:113]{index=113}. Regimen B was dose-intensified post-RT therapy with stem cell transplant support"
"CCG-99703","Infant Brain Tumor Chemo","Intensive multi-agent chemotherapy without upfront radiation","Induction chemo (Vincristine, cyclophosphamide, cisplatin, etoposide ×4 cycles) → Second-look surgery → Consolidation chemo (cyclophosphamide/etoposide)","Cycle example: Vincristine weekly ×3, cyclophosphamide 1.5 g/m² and etoposide 100 mg/m² for 2 days, cisplatin 3 mg/kg on day 0:contentReference[oaicite:114]{index=114}; repeated every 3 weeks","CCG-99703 regimen is the chemo backbone for infant medulloblastoma/PNET (<3y) without radiation:contentReference[oaicite:115]{index=115}. Used in COG ACNS0334 as control arm; achieves ~30–40% 3-yr EFS in infants"
"Head Start II","Induction","Intensive induction chemotherapy (5-drug regimen) for young children","Induction chemo cycles ×3 → Evaluate → High-dose chemo (see HSII myeloablative)","Vincristine, cisplatin, etoposide, cyclophosphamide, methotrexate (IV) – 3 cycles:contentReference[oaicite:116]{index=116}","Head Start II protocol (infants with malignant brain tumors) – three induction cycles with multiple agents before consolidation."
"Head Start II","Consolidation (myeloablative)","High-dose chemotherapy with autologous stem cell rescue","3 sequential high-dose chemo cycles with stem cell transplant each","Examples: Thiotepa 300 mg/m² + Etoposide 100 mg/m² ×4 days, Carboplatin 500 mg/m² ×4 days (varies by cycle) followed by stem cell infusion:contentReference[oaicite:117]{index=117}","Head Start II used 3 intensive myeloablative chemo cycles (different drug combos) with stem cell rescue instead of radiation in young children."
"Head Start III","Induction","Similar induction as HSII (multi-agent chemo)","Induction chemo ×5 cycles → Evaluate → HD chemo ± XRT","Vincristine, cisplatin, etoposide, cyclophosphamide (± high-dose methotrexate in select cycles)","Head Start III added a 5th induction cycle and incorporated HD methotrexate in induction for some patients, aiming to improve remission rates before transplant."
"Head Start III","Myeloablative chemo (single transplant)","Single-cycle myeloablative chemotherapy + stem cell rescue","One high-dose chemo cycle (carboplatin, thiotepa, etoposide) → stem cell transplant","Thiotepa 300 mg/m²/day ×3, Etoposide 250 mg/m² ×3, Carboplatin 500 mg/m² ×3, then PBSC infusion","HSIII changed to a single transplant (instead of 3) after extended induction, to reduce toxicity while maintaining efficacy."
"SJATRT","Stratum A","Intensive chemo (vincristine, cyclophosphamide, etoposide, cisplatin) **without** radiation","Multiple chemo cycles → Surgery/response eval","High-dose methotrexate-based induction plus alkylator/platinum agents; no upfront RT","St. Jude AT/RT trial (SJATRT) stratified by extent of resection and craniospinal dissemination. Stratum A: young infants with localized disease aiming to avoid radiation."
"SJATRT","Stratum B","Intensive chemo + focal radiation","Chemo cycles → Focal RT to tumor","Chemo as per Stratum A, followed by focal RT (~50 Gy) to primary tumor","Stratum B: older patients or those needing local control; added focal irradiation to chemo."
"SJATRT","Stratum C","Intensive chemo + **craniospinal** radiation","Chemo cycles → CSI + boost","Chemo induction, then CSI ~36 Gy + tumor boost for disseminated AT/RT","Stratum C: patients with metastatic AT/RT (M+); received CSI due to high risk of neuraxis spread."
"SJATRT","Intervention B1","Investigational therapy (e.g. novel agent) added to upfront chemo","Chemo ± new agent → Standard therapy","Experimental addition (e.g., intrathecal therapy or targeted drug) during induction","St. Jude AT/RT trial had sub-studies (B1/B2) evaluating novel interventions; B1 might denote one investigational arm."
"SJATRT","Intervention B2","Investigational therapy variant","Chemo ± alternate investigational agent","As above, using a different experimental approach","B2: second experimental arm in AT/RT protocol (details specific to trial design)."
"SJDAWN","Arm A","Ribociclib (CDK4/6 inhibitor) + Gemcitabine","Targeted + chemo combination cycles","28-day cycles: ribociclib oral daily ×21, gemcitabine IV on Days 1,8","St. Jude “DAWN” DIPG trial arms A–C with ribociclib combinations."
"SJDAWN","Arm B","Ribociclib + Trametinib (MEK inhibitor)","Targeted combo therapy","Ribociclib daily ×21, Trametinib oral daily (continuous) in 28-day cycles","DAWN Arm B: dual targeted therapy for DIPG (CDK4/6 + MEK inhibition)."
"SJDAWN","Arm C","Ribociclib + Sonidegib (SHH pathway inhibitor)","Targeted combo therapy","Ribociclib ×21 days, Sonidegib daily (continuous) each cycle","DAWN Arm C: investigating SHH pathway inhibition with CDK4/6 inhibitor in DIPG."
"SJMB03","Stratum 1 (High-risk)","Surgery + craniospinal RT + intensive chemo ± transplant","Post-op CSI (36–39 Gy) → Chemo (maintenance or myeloablative)","High-risk MB: CSI ~36 Gy + posterior fossa boost; chemotherapy (e.g., 4 cycles with cisplatin, cyclophosphamide, vincristine, etoposide):contentReference[oaicite:118]{index=118}; some received myeloablative chemo + stem cell rescue","St. Jude Medulloblastoma-03 trial; high-risk defined by metastases or residual disease. Investigated intensive chemotherapies after CSI."
"SJMB03","Stratum 2 (Standard-risk)","Surgery + reduced-dose CSI + chemotherapy","Post-op CSI (~23.4 Gy) → Chemo cycles","CSI 23.4 Gy + tumor bed boost; 4–8 cycles chemo (e.g., cisplatin, CCNU, vincristine)","SJMB03 standard-risk arm: tested reduced CSI and chemo in average-risk MB; achieved excellent survival (>80%)."
"SJMB12","Stratum N1 (Std-risk Group 3/4)","Surgery + CSI 23.4 Gy + chemotherapy (average-risk non-SHH/WNT)","Post-op low-dose CSI → Chemo → ±Isotretinoin","23.4 Gy CSI + boost; 6 cycles chemo (cisplatin, cyclophosphamide, vincristine, etoposide); ± isotretinoin maintenance","St. Jude MB-12 protocol with molecular risk stratification. N1: non-WNT/SHH with standard clinical risk (M0 non-anaplastic)."
"SJMB12","Stratum N2 (Intermed-risk G3/4)","Surgery + CSI 36 Gy + chemotherapy (intermediate risk Group3/4)","Post-op standard CSI → Chemo → ±Isotretinoin","36 Gy CSI + boost; intensive chemo similar to N1; ± isotretinoin","Stratum N2: higher risk Group 3/4 (e.g. metastases or partial resection but favorable biology)."
"SJMB12","Stratum N3 (High-risk G3/4)","Surgery + CSI 36 Gy + high-dose chemo + transplant","Post-op CSI → High-dose chemo + stem cell → ±Isotretinoin","36 Gy CSI + boost; 4 induction cycles then myeloablative chemo (thiotepa/carboplatin) + transplant; ± isotretinoin","Stratum N3: very high-risk Group 3/4 MB (metastatic/anaplastic); received tandem transplant in SJMB12 to intensify therapy."
"SJMB12","Stratum S1 (Std-risk SHH)","Surgery ± RT + chemo (low-risk SHH, e.g. infants)","Chemo-only or delayed RT strategy","If <3y: chemo-only (similar to Head Start); if ≥3y: CSI 23.4 Gy + chemo","Stratum S1: standard-risk SHH MB (no metastasis, older children may get reduced RT; infants treated with chemo-only)."
"SJMB12","Stratum S2 (High-risk SHH)","Surgery + CSI + chemo (± vismodegib)","Post-op CSI 36 Gy → Chemo ± SHH inhibitor","36 Gy CSI + boost; maintenance with vismodegib (hedgehog inhibitor) in some cases","Stratum S2: SHH MB with risk factors (e.g. TP53-mutant SHH). Investigated targeted SHH inhibition."
"SJMB12","Stratum W1 (Low-risk WNT)","Surgery + **reduced** CSI + chemo (very low-intensity)","Post-op CSI 18 Gy → Chemo (light)","18 Gy CSI + limited chemo (e.g. 4 cycles vincristine/cyclophosphamide/cisplatin)","Stratum W1: WNT-subgroup MB, excellent prognosis. Trial drastically reduced RT dose to 18 Gy for these patients:contentReference[oaicite:119]{index=119}."
"SJMB12","Stratum W2 (Atypical WNT)","Surgery + CSI 23.4 Gy + chemo","Post-op CSI (standard low dose) → Chemo","23.4 Gy CSI + chemo (standard-risk intensity)","Stratum W2: WNT MB with atypical features (e.g. >16 years old or other factors). Treated slightly more aggressively than W1."
"SJMB12","Stratum W3 (High-risk WNT)","Surgery + CSI 36 Gy + chemo","Post-op CSI (full dose) → Chemo","36 Gy CSI + chemo (intensive as high-risk)","Stratum W3: rare WNT patients with high-risk features (e.g., metastatic WNT MB); given conventional high-risk therapy."
"SJMB-96","Therapy regimen","Pre-radiation chemotherapy → CSI → maintenance chemotherapy (risk-adapted)","Induction chemo → CSI (delayed) → Maintenance chemo or transplant","Up-front chemo: 4 cycles (cisplatin, cyclophosphamide, etoposide) then CSI (depending on age: 23.4 Gy if <3, 36 Gy if older) followed by maintenance chemo","St. Jude Medulloblastoma-96 trial:contentReference[oaicite:120]{index=120}; tested delaying radiation with induction chemo in young children vs immediate RT. Long-term results helped refine infant therapy:contentReference[oaicite:121]{index=121}"
