paradigm_id,type,patient_count,drug_count,drugs,description
C055,drug_combination,50,2,G-CSF; plerixafor,G-CSF + plerixafor
C093,drug_combination,14,2,filgrastim; gemcitabine,filgrastim + gemcitabine
C094,drug_combination,14,2,Nivestym; mesna,Nivestym + mesna
C095,drug_combination,14,2,Cyclophosphamide; Nivestym,Cyclophosphamide + Nivestym
C099,drug_combination,14,2,G-CSF; ifosfamide,G-CSF + ifosfamide
C100,drug_combination,14,2,carboplatin; plerixafor,carboplatin + plerixafor
C101,drug_combination,14,2,Cyclophosphamide; thalidomide,Cyclophosphamide + thalidomide
C102,drug_combination,14,2,Cyclophosphamid; thalidomide,Cyclophosphamid + thalidomide
C096,drug_combination,14,2,Cyclophosphamid; Nivestym,Cyclophosphamid + Nivestym
C103,drug_combination,13,2,Nivestym; vincristine,Nivestym + vincristine
C105,drug_combination,13,2,GM-CSF; plerixafor,GM-CSF + plerixafor
C106,drug_combination,13,2,bevacizumab; topotecan,bevacizumab + topotecan
C107,drug_combination,13,2,etoposide; thalidomide,etoposide + thalidomide
C104,drug_combination,13,2,Investigational Chemotherapy (unspecified); filgrastim,Investigational Chemotherapy (unspecified) + filgrastim
P002,complete_drug_set,13,110,"***; 131-MIBG + Vorinostat; 1A46 Drug Substance; AMG386 and bevacizumab; AZD1775; AZD6244; Access to Experimental Drugs; Adjuvant Atezolizumab-Bevacizumab Therapy; Anlotinib hydrochloride capsule Combined With Concurrent Chemoradiotherapy; Anti-PD-1 Drugs; Antibody-Drug Conjugates; BRAF inhibitor dabrafenib and MEK inhibitor trametinib; Bevacizumab Avastin; Bevacizumab, Everolimus and LBH589; Bevacizumab-IRDye800CW; Bortezomib drug; CUDC-907; Cemiplimab REGN2810; Chemo with concomitant Capecitabine and KD018; Combination drug; Combination of Gemcitabine, Oxaliplatin, Sintilimab and Bevacizumab; Combination, Rogaratinib + palbociclib + fulvestrant; DFMO; DIFLUOROMETHYLORNITHINE; DS-8273a + nivolumab; Dabrafenib and trametinib combination; Drug-based intervention; Drugs Approved for Childhood Cancers; Drugs Approved for Conditions Related to Cancer; Drugs Approved for Different Types of Cancer; ETBX-071 PSA-based Oncolytic Virus; Enzalutamide,, soft capsules, once daily; Everolimus Afinitor tablets; FOLFIRI-BEVACIZUMAB; Fenretinide; Fimepinostat; IV FOLFIRI+ target agent bevacizumab or cetuximab every 2 weeks; Imatinib, Fluorouracil, Oxaliplatin, Leucovorin and Bevacizumab; Indoximod; Investigational Chemotherapy (unspecified); Ipilimumab -/kg; LVGN3616 + LVGN6051 + Bevacizumab + Cyclophosphamide; LVGN3616 + LVGN6051 + LVGN7409 + Bevacizumab + Cyclophosphamide; MK-1775; Mocetinostat Induction Phase + Ipilimumab + Nivolumab; Mocetinostat Maintenance Phase + Ipilimumab + Nivolumab; Nivolumab & Ipilimumab; Nivolumab -/kg; Nivolumab Protocol; Nivolumab and Hyaluronidase-nvhy; Nivolumab and Relatlimab-rmbw; Nivolumab induction; Nivolumab maintenance; Nivolumab with chemoradiation; Nivolumab-relatlimab FDC; ONC201; ONO-7475 once daily; Oncaspar; Oncolytic virus VRT106; PDR001 concurrent with standard platinum-based chemoradiation, followed by consolidation with PDR001; PTC596; Palbociclib100mg; Palbociclib125mg; Pemetrexed and Gemcitabine plus Bevacizumab; Placebo - Concentrate; Recombinant oncolytic herpes simplex virus type Ⅰ R130; Relatlimab FDC + Nivolumab; SAHA(Suberoylanilide; SAHA-Suberoylanilide; SAHA/Vorinostat; Serplulimab combined with bevacizumab and first-line chemotherapy; Surufatinib; Surufatinib and Serplulimab; Surufatinib plus chemotherapy; TAK-580; Three-drug chemotherapy group; Trametinib placebo; Trastuzumab+Nivolumab+Gemcitabine+Cisplatin; Trifluridine/tipiracil + bevacizumab; albumin-bound paclitaxe combined with bevacizumab biosimilar; bevacizumab; capecitabine, oxaliplatin, irinotecan and bevacizumab; carboplatin paclitaxel bevacizumab; chlorambucil drug; concurrent capecitabine-based long-term radiotherapy followed by 4 cycles XELOX and a delayed TME; concurrent capecitabine-based long-term radiotherapy followed by a Regular TME and 6 Cycles XELOX; dasatinib; epirubicin - cyclophosphamide / docetaxel + bevacizumab; everolimus; fenretinide lipid matrix; intra-arterial oxaliplatin + Systemic FOLFIRI + target agent bevacizumab or cetuximab every 2 weeks; ipilimumab; loncastuximab tesirine; loncastuximab tesirine-lpyl; mFOLFOX6 + Bevacizumab + PD-1 monoclonal antibody; nivolumab; ntifier:ADVL0921; once daily for two consecutive days Picato; paclitaxel + everolimus RAD001; palbociclib; palbociclib isethionate; rituximab, cyclophosphamide, etoposide, prednisone, vorinostat and QOL questionnaire, peg-filgrastim or filgrastim; selinexor; standard platinum-based concurrent chemoradiotherapy, followed by consolidation with PDR001; tazemetostat; tazemetostat hydrobromide; trametinib; trametinib dimethyl sulfoxide; two-drug chemotherapy group; vorinostat","110 drugs: ***, 131-MIBG + Vorinostat, 1A46 Drug Substance, AMG386 and bevacizumab, AZD1775"
C111,drug_combination,12,2,bevacizumab; pegfilgrastim,bevacizumab + pegfilgrastim
C110,drug_combination,12,2,Nivestym; cisplatin,Nivestym + cisplatin
C109,drug_combination,12,2,Investigational Chemotherapy (unspecified); vincristine,Investigational Chemotherapy (unspecified) + vincristine
C108,drug_combination,12,2,doxorubicin; triamcinolone,doxorubicin + triamcinolone
C121,drug_combination,11,2,Etopophos; G-CSF,Etopophos + G-CSF
C125,drug_combination,11,2,carboplatin; etoposide phosphate,carboplatin + etoposide phosphate
C124,drug_combination,11,2,etoposide phosphate; filgrastim,etoposide phosphate + filgrastim
C127,drug_combination,11,2,Glutamine; etoposide phosphate,Glutamine + etoposide phosphate
C128,drug_combination,11,2,Etopophos; carboplatin,Etopophos + carboplatin
C129,drug_combination,11,2,Etopophos; Glutamine,Etopophos + Glutamine
C130,drug_combination,11,2,G-CSF; etoposide phosphate,G-CSF + etoposide phosphate
C122,drug_combination,11,2,Etopophos; etoposide phosphate,Etopophos + etoposide phosphate
C126,drug_combination,11,2,Etopophos; etoposide,Etopophos + etoposide
C112,drug_combination,11,2,dexrazoxane; triamcinolone,dexrazoxane + triamcinolone
C118,drug_combination,11,2,Neulasta; doxorubicin,Neulasta + doxorubicin
C123,drug_combination,11,2,etoposide; etoposide phosphate,etoposide + etoposide phosphate
C120,drug_combination,11,2,Etopophos; filgrastim,Etopophos + filgrastim
C119,drug_combination,11,2,Progesterone; filgrastim,Progesterone + filgrastim
C113,drug_combination,11,2,Leucovorin; triamcinolone,Leucovorin + triamcinolone
C117,drug_combination,11,2,GM-CSF; isotretinoin,GM-CSF + isotretinoin
C115,drug_combination,11,2,Rituxan; rituximab,Rituxan + rituximab
C114,drug_combination,11,2,Leucovorin; cytarabine,Leucovorin + cytarabine
C116,drug_combination,11,2,GM-CSF; tretinoin,GM-CSF + tretinoin
C139,drug_combination,10,2,etoposide; tretinoin,etoposide + tretinoin
C145,drug_combination,10,2,Glutamine; plerixafor,Glutamine + plerixafor
C144,drug_combination,10,2,Cyclophosphamid; irinotecan,Cyclophosphamid + irinotecan
C143,drug_combination,10,2,Cyclophosphamide; irinotecan,Cyclophosphamide + irinotecan
C142,drug_combination,10,2,cisplatin; topotecan,cisplatin + topotecan
C141,drug_combination,10,2,Progesterone; pegfilgrastim,Progesterone + pegfilgrastim
C140,drug_combination,10,2,Neulasta; dexrazoxane,Neulasta + dexrazoxane
C138,drug_combination,10,2,Investigational Chemotherapy (unspecified); pegfilgrastim,Investigational Chemotherapy (unspecified) + pegfilgrastim
C137,drug_combination,10,2,G-CSF; bevacizumab,G-CSF + bevacizumab
C136,drug_combination,10,2,trametinib; vincristine,trametinib + vincristine
C134,drug_combination,10,2,Cyclophosphamid; gemcitabine,Cyclophosphamid + gemcitabine
C133,drug_combination,10,2,gemcitabine; vincristine,gemcitabine + vincristine
C132,drug_combination,10,2,Fulphila; vincristine,Fulphila + vincristine
C131,drug_combination,10,2,Progesterone; bevacizumab,Progesterone + bevacizumab
C135,drug_combination,10,2,Cyclophosphamide; gemcitabine,Cyclophosphamide + gemcitabine
C146,drug_combination,9,2,Fulphila; etoposide,Fulphila + etoposide
C147,drug_combination,9,2,Cyclophosphamide; pemetrexed,Cyclophosphamide + pemetrexed
C148,drug_combination,9,2,filgrastim; pemetrexed,filgrastim + pemetrexed
C153,drug_combination,9,2,gemcitabine; mesna,gemcitabine + mesna
C158,drug_combination,9,2,ATRA; Cyclophosphamide,ATRA + Cyclophosphamide
C156,drug_combination,9,2,gemcitabine; pemetrexed,gemcitabine + pemetrexed
C155,drug_combination,9,2,mesna; pemetrexed,mesna + pemetrexed
C154,drug_combination,9,2,pegfilgrastim; pemetrexed,pegfilgrastim + pemetrexed
C149,drug_combination,9,2,cisplatin; gemcitabine,cisplatin + gemcitabine
C152,drug_combination,9,2,cisplatin; pemetrexed,cisplatin + pemetrexed
C151,drug_combination,9,2,pemetrexed; vincristine,pemetrexed + vincristine
C150,drug_combination,9,2,Cyclophosphamid; pemetrexed,Cyclophosphamid + pemetrexed
C159,drug_combination,9,2,Cyclophosphamid; Fulphila,Cyclophosphamid + Fulphila
C160,drug_combination,9,2,cytarabine; triamcinolone,cytarabine + triamcinolone
C161,drug_combination,9,2,Fulphila; cisplatin,Fulphila + cisplatin
C162,drug_combination,9,2,Cyclophosphamide; Fulphila,Cyclophosphamide + Fulphila
C163,drug_combination,9,2,Investigational Chemotherapy (unspecified); etoposide,Investigational Chemotherapy (unspecified) + etoposide
C164,drug_combination,9,2,Temozolomide capsule; triamcinolone,Temozolomide capsule + triamcinolone
C165,drug_combination,9,2,mercaptopurine; methotrexate,mercaptopurine + methotrexate
C166,drug_combination,9,2,Daunorubicin; cytarabine,Daunorubicin + cytarabine
C167,drug_combination,9,2,G-CSF; doxorubicin,G-CSF + doxorubicin
C168,drug_combination,9,2,GM-CSF; irinotecan,GM-CSF + irinotecan
C169,drug_combination,9,2,GM-CSF; topotecan,GM-CSF + topotecan
C170,drug_combination,9,2,GM-CSF; dinutuximab,GM-CSF + dinutuximab
C171,drug_combination,9,2,G-CSF; cytarabine,G-CSF + cytarabine
P003,complete_drug_set,9,8,Cyclophosphamid; Cyclophosphamide; amifostine; cisplatin; filgrastim; mesna; pegfilgrastim; vincristine,"8 drugs: Cyclophosphamid, Cyclophosphamide, amifostine, cisplatin, filgrastim"
C157,drug_combination,9,2,ATRA; Cyclophosphamid,ATRA + Cyclophosphamid
C172,drug_combination,8,2,Cyclophosphamide; tretinoin,Cyclophosphamide + tretinoin
C173,drug_combination,8,2,Cyclophosphamid; tretinoin,Cyclophosphamid + tretinoin
C174,drug_combination,8,2,Cyclophosphamide; isotretinoin,Cyclophosphamide + isotretinoin
C175,drug_combination,8,2,Cyclophosphamid; isotretinoin,Cyclophosphamid + isotretinoin
C177,drug_combination,8,2,irinotecan; triamcinolone,irinotecan + triamcinolone
C178,drug_combination,8,2,Nivestym; methotrexate,Nivestym + methotrexate
C179,drug_combination,8,2,Cyclophosphamide; tazemetostat,Cyclophosphamide + tazemetostat
C181,drug_combination,8,2,bevacizumab; cisplatin,bevacizumab + cisplatin
C182,drug_combination,8,2,ipilimumab; vincristine,ipilimumab + vincristine
C199,drug_combination,8,2,G-CSF; irinotecan,G-CSF + irinotecan
C198,drug_combination,8,2,Glutamine; melphalan,Glutamine + melphalan
C197,drug_combination,8,2,filgrastim; melphalan,filgrastim + melphalan
C196,drug_combination,8,2,G-CSF; melphalan,G-CSF + melphalan
C195,drug_combination,8,2,plerixafor; thiotepa,plerixafor + thiotepa
C194,drug_combination,8,2,Nivestym; plerixafor,Nivestym + plerixafor
C193,drug_combination,8,2,ifosfamide; plerixafor,ifosfamide + plerixafor
C192,drug_combination,8,2,G-CSF; dexrazoxane,G-CSF + dexrazoxane
C191,drug_combination,8,2,methotrexate; plerixafor,methotrexate + plerixafor
C190,drug_combination,8,2,Ziextenzo; carboplatin,Ziextenzo + carboplatin
C189,drug_combination,8,2,filgrastim; tretinoin,filgrastim + tretinoin
C188,drug_combination,8,2,Cyclophosphamid; tazemetostat,Cyclophosphamid + tazemetostat
C187,drug_combination,8,2,ipilimumab; pegfilgrastim,ipilimumab + pegfilgrastim
C186,drug_combination,8,2,nivolumab; pegfilgrastim,nivolumab + pegfilgrastim
C185,drug_combination,8,2,filgrastim; nivolumab,filgrastim + nivolumab
C184,drug_combination,8,2,filgrastim; ipilimumab,filgrastim + ipilimumab
C183,drug_combination,8,2,bevacizumab; tretinoin,bevacizumab + tretinoin
C180,drug_combination,8,2,nivolumab; vincristine,nivolumab + vincristine
C176,drug_combination,8,2,ATRA; filgrastim,ATRA + filgrastim
P004,complete_drug_set,8,2,Temozolomide capsule; temozolomide,"2 drugs: Temozolomide capsule, temozolomide"
C503,drug_combination,7,2,loncastuximab tesirine-lpyl; vincristine,loncastuximab tesirine-lpyl + vincristine
C413,drug_combination,7,2,DS-8273a + nivolumab; vincristine,DS-8273a + nivolumab + vincristine
C423,drug_combination,7,2,Mocetinostat Maintenance Phase + Ipilimumab + Nivolumab; pegfilgrastim,Mocetinostat Maintenance Phase + Ipilimumab + Nivolumab + pegfilgrastim
C422,drug_combination,7,2,Surufatinib plus chemotherapy; pegfilgrastim,Surufatinib plus chemotherapy + pegfilgrastim
C421,drug_combination,7,2,"Combination, Rogaratinib + palbociclib + fulvestrant; filgrastim","Combination, Rogaratinib + palbociclib + fulvestrant + filgrastim"
C420,drug_combination,7,2,Antibody-Drug Conjugates; filgrastim,Antibody-Drug Conjugates + filgrastim
C419,drug_combination,7,2,ETBX-071 PSA-based Oncolytic Virus; filgrastim,ETBX-071 PSA-based Oncolytic Virus + filgrastim
C418,drug_combination,7,2,Surufatinib; vincristine,Surufatinib + vincristine
C417,drug_combination,7,2,***; vincristine,*** + vincristine
C416,drug_combination,7,2,Trastuzumab+Nivolumab+Gemcitabine+Cisplatin; vincristine,Trastuzumab+Nivolumab+Gemcitabine+Cisplatin + vincristine
C415,drug_combination,7,2,"Bevacizumab, Everolimus and LBH589; pegfilgrastim","Bevacizumab, Everolimus and LBH589 + pegfilgrastim"
C414,drug_combination,7,2,palbociclib; pegfilgrastim,palbociclib + pegfilgrastim
C412,drug_combination,7,2,Nivolumab and Hyaluronidase-nvhy; vincristine,Nivolumab and Hyaluronidase-nvhy + vincristine
C425,drug_combination,7,2,loncastuximab tesirine; pegfilgrastim,loncastuximab tesirine + pegfilgrastim
C411,drug_combination,7,2,Bevacizumab Avastin; vincristine,Bevacizumab Avastin + vincristine
C410,drug_combination,7,2,Nivolumab with chemoradiation; filgrastim,Nivolumab with chemoradiation + filgrastim
C409,drug_combination,7,2,CUDC-907; pegfilgrastim,CUDC-907 + pegfilgrastim
C408,drug_combination,7,2,Ipilimumab -/kg; pegfilgrastim,Ipilimumab -/kg + pegfilgrastim
C407,drug_combination,7,2,Fenretinide; filgrastim,Fenretinide + filgrastim
C406,drug_combination,7,2,DFMO; filgrastim,DFMO + filgrastim
C405,drug_combination,7,2,SAHA-Suberoylanilide; pegfilgrastim,SAHA-Suberoylanilide + pegfilgrastim
C404,drug_combination,7,2,Placebo - Concentrate; filgrastim,Placebo - Concentrate + filgrastim
C403,drug_combination,7,2,Mocetinostat Maintenance Phase + Ipilimumab + Nivolumab; filgrastim,Mocetinostat Maintenance Phase + Ipilimumab + Nivolumab + filgrastim
C424,drug_combination,7,2,DFMO; pegfilgrastim,DFMO + pegfilgrastim
C426,drug_combination,7,2,Nivolumab Protocol; filgrastim,Nivolumab Protocol + filgrastim
C401,drug_combination,7,2,Drug-based intervention; vincristine,Drug-based intervention + vincristine
C439,drug_combination,7,2,Cemiplimab REGN2810; filgrastim,Cemiplimab REGN2810 + filgrastim
C449,drug_combination,7,2,Oncaspar; pegfilgrastim,Oncaspar + pegfilgrastim
C448,drug_combination,7,2,Oncolytic virus VRT106; pegfilgrastim,Oncolytic virus VRT106 + pegfilgrastim
C447,drug_combination,7,2,"pegfilgrastim; rituximab, cyclophosphamide, etoposide, prednisone, vorinostat and QOL questionnaire, peg-filgrastim or filgrastim","pegfilgrastim + rituximab, cyclophosphamide, etoposide, prednisone, vorinostat and QOL questionnaire, peg-filgrastim or filgrastim"
C446,drug_combination,7,2,carboplatin paclitaxel bevacizumab; pegfilgrastim,carboplatin paclitaxel bevacizumab + pegfilgrastim
C445,drug_combination,7,2,"Imatinib, Fluorouracil, Oxaliplatin, Leucovorin and Bevacizumab; vincristine","Imatinib, Fluorouracil, Oxaliplatin, Leucovorin and Bevacizumab + vincristine"
C444,drug_combination,7,2,131-MIBG + Vorinostat; filgrastim,131-MIBG + Vorinostat + filgrastim
C443,drug_combination,7,2,Nivolumab Protocol; pegfilgrastim,Nivolumab Protocol + pegfilgrastim
C442,drug_combination,7,2,"rituximab, cyclophosphamide, etoposide, prednisone, vorinostat and QOL questionnaire, peg-filgrastim or filgrastim; vincristine","rituximab, cyclophosphamide, etoposide, prednisone, vorinostat and QOL questionnaire, peg-filgrastim or filgrastim + vincristine"
C441,drug_combination,7,2,1A46 Drug Substance; pegfilgrastim,1A46 Drug Substance + pegfilgrastim
C440,drug_combination,7,2,Ipilimumab -/kg; vincristine,Ipilimumab -/kg + vincristine
C438,drug_combination,7,2,Combination drug; filgrastim,Combination drug + filgrastim
C427,drug_combination,7,2,Fenretinide; pegfilgrastim,Fenretinide + pegfilgrastim
C437,drug_combination,7,2,MK-1775; vincristine,MK-1775 + vincristine
C436,drug_combination,7,2,SAHA-Suberoylanilide; vincristine,SAHA-Suberoylanilide + vincristine
C435,drug_combination,7,2,Fimepinostat; vincristine,Fimepinostat + vincristine
C434,drug_combination,7,2,Three-drug chemotherapy group; filgrastim,Three-drug chemotherapy group + filgrastim
C433,drug_combination,7,2,Oncaspar; filgrastim,Oncaspar + filgrastim
C432,drug_combination,7,2,paclitaxel + everolimus RAD001; pegfilgrastim,paclitaxel + everolimus RAD001 + pegfilgrastim
C431,drug_combination,7,2,131-MIBG + Vorinostat; vincristine,131-MIBG + Vorinostat + vincristine
C430,drug_combination,7,2,albumin-bound paclitaxe combined with bevacizumab biosimilar; vincristine,albumin-bound paclitaxe combined with bevacizumab biosimilar + vincristine
C429,drug_combination,7,2,Nivolumab with chemoradiation; pegfilgrastim,Nivolumab with chemoradiation + pegfilgrastim
C428,drug_combination,7,2,Nivolumab and Hyaluronidase-nvhy; filgrastim,Nivolumab and Hyaluronidase-nvhy + filgrastim
C402,drug_combination,7,2,Serplulimab combined with bevacizumab and first-line chemotherapy; filgrastim,Serplulimab combined with bevacizumab and first-line chemotherapy + filgrastim
C400,drug_combination,7,2,concurrent capecitabine-based long-term radiotherapy followed by a Regular TME and 6 Cycles XELOX; vincristine,concurrent capecitabine-based long-term radiotherapy followed by a Regular TME and 6 Cycles XELOX + vincristine
C451,drug_combination,7,2,SAHA(Suberoylanilide; pegfilgrastim,SAHA(Suberoylanilide + pegfilgrastim
C375,drug_combination,7,2,"Enzalutamide,, soft capsules, once daily; pegfilgrastim","Enzalutamide,, soft capsules, once daily + pegfilgrastim"
C373,drug_combination,7,2,filgrastim; ntifier:ADVL0921,filgrastim + ntifier:ADVL0921
C372,drug_combination,7,2,Indoximod; pegfilgrastim,Indoximod + pegfilgrastim
C371,drug_combination,7,2,pegfilgrastim; trametinib dimethyl sulfoxide,pegfilgrastim + trametinib dimethyl sulfoxide
C370,drug_combination,7,2,Anti-PD-1 Drugs; filgrastim,Anti-PD-1 Drugs + filgrastim
C369,drug_combination,7,2,Access to Experimental Drugs; pegfilgrastim,Access to Experimental Drugs + pegfilgrastim
C368,drug_combination,7,2,"PDR001 concurrent with standard platinum-based chemoradiation, followed by consolidation with PDR001; pegfilgrastim","PDR001 concurrent with standard platinum-based chemoradiation, followed by consolidation with PDR001 + pegfilgrastim"
C367,drug_combination,7,2,chlorambucil drug; filgrastim,chlorambucil drug + filgrastim
C366,drug_combination,7,2,AZD6244; pegfilgrastim,AZD6244 + pegfilgrastim
C365,drug_combination,7,2,Cyclophosphamide; nivolumab,Cyclophosphamide + nivolumab
C364,drug_combination,7,2,ONO-7475 once daily; filgrastim,ONO-7475 once daily + filgrastim
C363,drug_combination,7,2,"Enzalutamide,, soft capsules, once daily; filgrastim","Enzalutamide,, soft capsules, once daily + filgrastim"
C362,drug_combination,7,2,Drugs Approved for Different Types of Cancer; pegfilgrastim,Drugs Approved for Different Types of Cancer + pegfilgrastim
C361,drug_combination,7,2,"Combination of Gemcitabine, Oxaliplatin, Sintilimab and Bevacizumab; filgrastim","Combination of Gemcitabine, Oxaliplatin, Sintilimab and Bevacizumab + filgrastim"
C360,drug_combination,7,2,Chemo with concomitant Capecitabine and KD018; filgrastim,Chemo with concomitant Capecitabine and KD018 + filgrastim
C359,drug_combination,7,2,Recombinant oncolytic herpes simplex virus type Ⅰ R130; pegfilgrastim,Recombinant oncolytic herpes simplex virus type Ⅰ R130 + pegfilgrastim
C358,drug_combination,7,2,TAK-580; filgrastim,TAK-580 + filgrastim
C357,drug_combination,7,2,epirubicin - cyclophosphamide / docetaxel + bevacizumab; filgrastim,epirubicin - cyclophosphamide / docetaxel + bevacizumab + filgrastim
C356,drug_combination,7,2,Mocetinostat Induction Phase + Ipilimumab + Nivolumab; vincristine,Mocetinostat Induction Phase + Ipilimumab + Nivolumab + vincristine
C355,drug_combination,7,2,Trifluridine/tipiracil + bevacizumab; filgrastim,Trifluridine/tipiracil + bevacizumab + filgrastim
C354,drug_combination,7,2,chlorambucil drug; vincristine,chlorambucil drug + vincristine
C353,drug_combination,7,2,concurrent capecitabine-based long-term radiotherapy followed by 4 cycles XELOX and a delayed TME; vincristine,concurrent capecitabine-based long-term radiotherapy followed by 4 cycles XELOX and a delayed TME + vincristine
C374,drug_combination,7,2,epirubicin - cyclophosphamide / docetaxel + bevacizumab; pegfilgrastim,epirubicin - cyclophosphamide / docetaxel + bevacizumab + pegfilgrastim
C376,drug_combination,7,2,concurrent capecitabine-based long-term radiotherapy followed by a Regular TME and 6 Cycles XELOX; pegfilgrastim,concurrent capecitabine-based long-term radiotherapy followed by a Regular TME and 6 Cycles XELOX + pegfilgrastim
C399,drug_combination,7,2,FOLFIRI-BEVACIZUMAB; filgrastim,FOLFIRI-BEVACIZUMAB + filgrastim
C377,drug_combination,7,2,filgrastim; trametinib,filgrastim + trametinib
C398,drug_combination,7,2,albumin-bound paclitaxe combined with bevacizumab biosimilar; pegfilgrastim,albumin-bound paclitaxe combined with bevacizumab biosimilar + pegfilgrastim
C397,drug_combination,7,2,SAHA/Vorinostat; pegfilgrastim,SAHA/Vorinostat + pegfilgrastim
C396,drug_combination,7,2,pegfilgrastim; two-drug chemotherapy group,pegfilgrastim + two-drug chemotherapy group
C395,drug_combination,7,2,"Bevacizumab, Everolimus and LBH589; filgrastim","Bevacizumab, Everolimus and LBH589 + filgrastim"
C394,drug_combination,7,2,Indoximod; vincristine,Indoximod + vincristine
C393,drug_combination,7,2,Access to Experimental Drugs; vincristine,Access to Experimental Drugs + vincristine
C392,drug_combination,7,2,LVGN3616 + LVGN6051 + LVGN7409 + Bevacizumab + Cyclophosphamide; pegfilgrastim,LVGN3616 + LVGN6051 + LVGN7409 + Bevacizumab + Cyclophosphamide + pegfilgrastim
C391,drug_combination,7,2,Everolimus Afinitor tablets; filgrastim,Everolimus Afinitor tablets + filgrastim
C390,drug_combination,7,2,CUDC-907; filgrastim,CUDC-907 + filgrastim
C389,drug_combination,7,2,filgrastim; mFOLFOX6 + Bevacizumab + PD-1 monoclonal antibody,filgrastim + mFOLFOX6 + Bevacizumab + PD-1 monoclonal antibody
C388,drug_combination,7,2,Surufatinib; pegfilgrastim,Surufatinib + pegfilgrastim
C387,drug_combination,7,2,"capecitabine, oxaliplatin, irinotecan and bevacizumab; pegfilgrastim","capecitabine, oxaliplatin, irinotecan and bevacizumab + pegfilgrastim"
C386,drug_combination,7,2,fenretinide lipid matrix; vincristine,fenretinide lipid matrix + vincristine
C385,drug_combination,7,2,Trastuzumab+Nivolumab+Gemcitabine+Cisplatin; pegfilgrastim,Trastuzumab+Nivolumab+Gemcitabine+Cisplatin + pegfilgrastim
C384,drug_combination,7,2,Anti-PD-1 Drugs; pegfilgrastim,Anti-PD-1 Drugs + pegfilgrastim
C383,drug_combination,7,2,Bevacizumab Avastin; pegfilgrastim,Bevacizumab Avastin + pegfilgrastim
