drug_id,alias,alias_type,source,source_ref,normalized_key
,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatases isoform 3 inhibitor ACT-PFK-158",investigational_name,NCI_DD_INV,,6phosphofructo2kinasefructose26bisphosphatasesisoform3inhibitoractpfk158
,PFK-158,nci_alias,NCI_DD_INV,,pfk158
,ACT-PFK-158,nci_alias,NCI_DD_INV,,actpfk158
,PFKFB3 Inhibitor PFK-158,nci_alias,NCI_DD_INV,,pfkfb3inhibitorpfk158
,A2A/A2B adenosine receptor antagonist INCB106385,investigational_name,NCI_DD_INV,,a2aa2badenosinereceptorantagonistincb106385
,INCB106385,nci_alias,NCI_DD_INV,,incb106385
,A2AR/A2BR antagonist INCB106385,nci_alias,NCI_DD_INV,,a2ara2brantagonistincb106385
,INCB-106385,nci_alias,NCI_DD_INV,,incb106385
,INCB 106385,nci_alias,NCI_DD_INV,,incb106385
,A2A/A2B adenosine receptor antagonist YZJ-5053,investigational_name,NCI_DD_INV,,a2aa2badenosinereceptorantagonistyzj5053
,A2AR/A2BR antagonist YZJ-5053,nci_alias,NCI_DD_INV,,a2ara2brantagonistyzj5053
,adenosine receptor A2A/A2B antagonist YZJ-5053,nci_alias,NCI_DD_INV,,adenosinereceptora2aa2bantagonistyzj5053
,SHY 1901,nci_alias,NCI_DD_INV,,shy1901
,SHY-1901,nci_alias,NCI_DD_INV,,shy1901
,SHY1901,nci_alias,NCI_DD_INV,,shy1901
,YZJ 5053,nci_alias,NCI_DD_INV,,yzj5053
,YZJ-5053,nci_alias,NCI_DD_INV,,yzj5053
,YZJ5053,nci_alias,NCI_DD_INV,,yzj5053
,A2AR antagonist EXS21546,investigational_name,NCI_DD_INV,,a2arantagonistexs21546
,EXS21546,nci_alias,NCI_DD_INV,,exs21546
,EXS 21546,nci_alias,NCI_DD_INV,,exs21546
,EXS-21546,nci_alias,NCI_DD_INV,,exs21546
,abaloparatide,investigational_name,NCI_DD_INV,,abaloparatide
,247062-33-5,nci_alias,NCI_DD_INV,,247062335
,Tymlos,nci_alias,NCI_DD_INV,,tymlos
,BIM-44058,nci_alias,NCI_DD_INV,,bim44058
,BA058,nci_alias,NCI_DD_INV,,ba058
,"C2.29-methyl(22-L-glutamic acid(F>E),23-L-leucine(F>L),25-L-glutamic acid(H>E),26-L-lysine(H>K),28-L-leucine(I>L),30-L-lysine(E>K),31-L-leucine(I>L))human parathyroid hormone-related protein-(1-34)-proteinamide (SY); L-alaninamide, L-alanyl-L-valyl-L-seryl-L-alpha-glutamyl-L-histidyl-L-glutaminyl-L-leucyl-L-leucyl-L-histidyl-L-alpha-aspartyl-L-lysylglycyl-L-lysyl-L-seryl-L-isoleucyl-L-glutaminyl-L-alpha-aspartyl-L-leucyl-L-arginyl-L-arginyl-L-arginyl-L-alpha-glutamyl-L-leucyl-L-leucyl-L-alpha-glutamyl-L-lysyl-L-leucyl-L-leucyl-2-methylalanyl-L-lysyl-L-leucyl-L-histidyl-L-threonyl-",nci_alias,NCI_DD_INV,,c229methyl22lglutamicacidfe23lleucinefl25lglutamicacidhe26llysinehk28lleucineil30llysineek31lleucineilhumanparathyroidhormonerelatedprotein134proteinamidesylalaninamidelalanyllvalyllseryllalphaglutamyllhistidyllglutaminyllleucyllleucyllhistidyllalphaaspartylllysylglycylllysyllseryllisoleucyllglutaminyllalphaaspartyllleucyllarginyllarginyllarginyllalphaglutamyllleucyllleucyllalphaglutamylllysyllleucyllleucyl2methylalanylllysyllleucyllhistidyllthreonyl
,"C2.29-methyl(22-L-glutamic Acid(F>E),23-L-leucine(F>L),25-L-glutamic acid(H>E),26-L-lysine(H>K),28-L-leucine(I>L),30-L-lysine(E>K),31-L-leucine(I>L))human parathyroid hormone-related protein-(1-34)-proteinamide",nci_alias,NCI_DD_INV,,c229methyl22lglutamicacidfe23lleucinefl25lglutamicacidhe26llysinehk28lleucineil30llysineek31lleucineilhumanparathyroidhormonerelatedprotein134proteinamide
,"L-alaninamide, L-alanyl-L-valyl-L-seryl-L-alpha-glutamyl-L-histidyl-L-glutaminyl-L-leucyl-L-leucyl-L-histidyl-L-alpha-aspartyl-L-lysylglycyl-L-lysyl-L-seryl-L-isoleucyl-L-glutaminyl-L-alpha-aspartyl-L-leucyl-L-arginyl-L-arginyl-L-arginyl-L-alpha-glutamyl-L-leucyl-L-leucyl-L-alpha-glutamyl-L-lysyl-L-leucyl-L-leucyl-2-methylalanyl-L-lysyl-L-leucyl-L-histidyl-L-threonyl-",nci_alias,NCI_DD_INV,,lalaninamidelalanyllvalyllseryllalphaglutamyllhistidyllglutaminyllleucyllleucyllhistidyllalphaaspartylllysylglycylllysyllseryllisoleucyllglutaminyllalphaaspartyllleucyllarginyllarginyllarginyllalphaglutamyllleucyllleucyllalphaglutamylllysyllleucyllleucyl2methylalanylllysyllleucyllhistidyllthreonyl
,abarelix,investigational_name,NCI_DD_INV,,abarelix
,Plenaxis,nci_alias,NCI_DD_INV,,plenaxis
,PPI-149,nci_alias,NCI_DD_INV,,ppi149
,R-3827,nci_alias,NCI_DD_INV,,r3827
,183552-38-7,nci_alias,NCI_DD_INV,,183552387
,abatacept,investigational_name,NCI_DD_INV,,abatacept
,BMS-188667,nci_alias,NCI_DD_INV,,bms188667
,CTL A4-Ig B7 Inhibitor,nci_alias,NCI_DD_INV,,ctla4igb7inhibitor
,CTLA4-Ig,nci_alias,NCI_DD_INV,,ctla4ig
,Orencia,nci_alias,NCI_DD_INV,,orencia
,RG2077,nci_alias,NCI_DD_INV,,rg2077
,cytotoxic T lymphocyte-associated antigen-4,nci_alias,NCI_DD_INV,,cytotoxictlymphocyteassociatedantigen4
,710084,nci_alias,NCI_DD_INV,,710084
,332348-12-6,nci_alias,NCI_DD_INV,,332348126
,ABBV-221,investigational_name,NCI_DD_INV,,abbv221
,nan,nci_alias,NCI_DD_INV,,nan
,abelacimab,investigational_name,NCI_DD_INV,,abelacimab
,MAA868,nci_alias,NCI_DD_INV,,maa868
,2098724-83-3,nci_alias,NCI_DD_INV,,2098724833
,MAA 868,nci_alias,NCI_DD_INV,,maa868
,MAA-868,nci_alias,NCI_DD_INV,,maa868
,abequolixron,investigational_name,NCI_DD_INV,,abequolixron
,RGX104,nci_alias,NCI_DD_INV,,rgx104
,LXR-b agonist RGX-104,nci_alias,NCI_DD_INV,,lxrbagonistrgx104
,SB-742881,nci_alias,NCI_DD_INV,,sb742881
,liver X receptor beta agonist RGX-104,nci_alias,NCI_DD_INV,,liverxreceptorbetaagonistrgx104
,RGX 104,nci_alias,NCI_DD_INV,,rgx104
,610318-54-2,nci_alias,NCI_DD_INV,,610318542
,RGX-104,nci_alias,NCI_DD_INV,,rgx104
,abexinostat tosylate,investigational_name,NCI_DD_INV,,abexinostattosylate
,PCI-24781,nci_alias,NCI_DD_INV,,pci24781
,"1H-pyrrolo(2,3-C)pyridine-2-carboxamide, N-ethyl-4-(2-(4-fluoro-2,6-dimethylphenoxy)-5-(1-hydroxy-1-methylethyl)phenyl)-6,7-dihydro-6-methyl-7-oxo-",nci_alias,NCI_DD_INV,,1hpyrrolo23cpyridine2carboxamidenethyl424fluoro26dimethylphenoxy51hydroxy1methylethylphenyl67dihydro6methyl7oxo
,2138861-99-9,nci_alias,NCI_DD_INV,,2138861999
,PCI-24781 tosylate,nci_alias,NCI_DD_INV,,pci24781tosylate
,1622385-42-5,nci_alias,NCI_DD_INV,,1622385425
,abipapogene suvaplasmid,investigational_name,NCI_DD_INV,,abipapogenesuvaplasmid
,VB10.16,nci_alias,NCI_DD_INV,,vb1016
,VB10.16 vaccine,nci_alias,NCI_DD_INV,,vb1016vaccine
,2939766-18-2,nci_alias,NCI_DD_INV,,2939766182
,DNA vaccine VB10.16,nci_alias,NCI_DD_INV,,dnavaccinevb1016
,VB-10.16,nci_alias,NCI_DD_INV,,vb1016
,abiraterone amorphous solid dispersion formulation DST-2970,investigational_name,NCI_DD_INV,,abirateroneamorphoussoliddispersionformulationdst2970
,DST-2970,nci_alias,NCI_DD_INV,,dst2970
,abiraterone KinetiSol formulation DST-2970,nci_alias,NCI_DD_INV,,abirateronekinetisolformulationdst2970
,DST 2970,nci_alias,NCI_DD_INV,,dst2970
,DST2970,nci_alias,NCI_DD_INV,,dst2970
,abiraterone decanoate depot,investigational_name,NCI_DD_INV,,abirateronedecanoatedepot
,PRL-02 depot,nci_alias,NCI_DD_INV,,prl02depot
,PRL-02,nci_alias,NCI_DD_INV,,prl02
,PRL 02,nci_alias,NCI_DD_INV,,prl02
,PRL02,nci_alias,NCI_DD_INV,,prl02
,abivertinib,investigational_name,NCI_DD_INV,,abivertinib
,1557267-42-1,nci_alias,NCI_DD_INV,,1557267421
,AC 0010,nci_alias,NCI_DD_INV,,ac0010
,AC-0010,nci_alias,NCI_DD_INV,,ac0010
,AC0010,nci_alias,NCI_DD_INV,,ac0010
,abivertinib maleate anhydrous,investigational_name,NCI_DD_INV,,abivertinibmaleateanhydrous
,avitinib maleate,nci_alias,NCI_DD_INV,,avitinibmaleate
,AC0010MA,nci_alias,NCI_DD_INV,,ac0010ma
,AC0010 maleate,nci_alias,NCI_DD_INV,,ac0010maleate
,1557268-88-8,nci_alias,NCI_DD_INV,,1557268888
,AC0010 maleate dihydrate,nci_alias,NCI_DD_INV,,ac0010maleatedihydrate
,STI-5656,nci_alias,NCI_DD_INV,,sti5656
,ABT-510,investigational_name,NCI_DD_INV,,abt510
,ABT 510,nci_alias,NCI_DD_INV,,abt510
,ABT-751,investigational_name,NCI_DD_INV,,abt751
,E7010,nci_alias,NCI_DD_INV,,e7010
,E 7010,nci_alias,NCI_DD_INV,,e7010
,E-7010,nci_alias,NCI_DD_INV,,e7010
,N-[2-[(4-Hydroxyphenyl)amino]-3-pyridinyl]-4-methoxybenzenesulfonamide,nci_alias,NCI_DD_INV,,n24hydroxyphenylamino3pyridinyl4methoxybenzenesulfonamide
,141430-65-1,nci_alias,NCI_DD_INV,,141430651
,acalisib,investigational_name,NCI_DD_INV,,acalisib
,p110beta/delta PI3K inhibitor GS-9820,nci_alias,NCI_DD_INV,,p110betadeltapi3kinhibitorgs9820
,CAL-120,nci_alias,NCI_DD_INV,,cal120
,GS-9820,nci_alias,NCI_DD_INV,,gs9820
,6-fluoro-3-phenyl-2-((1S)-1-(7H-purin-6-ylamino)ethyl)quinazolin-4(3H)-one,nci_alias,NCI_DD_INV,,6fluoro3phenyl21s17hpurin6ylaminoethylquinazolin43hone
,870281-34-8,nci_alias,NCI_DD_INV,,870281348
,acapatamab,investigational_name,NCI_DD_INV,,acapatamab
,AMG 160,nci_alias,NCI_DD_INV,,amg160
,HLE-BiTE AMG 160,nci_alias,NCI_DD_INV,,hlebiteamg160
,AMG160,nci_alias,NCI_DD_INV,,amg160
,AMG-160,nci_alias,NCI_DD_INV,,amg160
,BITE AMG 160,nci_alias,NCI_DD_INV,,biteamg160
,anti-PSMA/CD3 bispecific T-cell engager antibody AMG 160,nci_alias,NCI_DD_INV,,antipsmacd3bispecifictcellengagerantibodyamg160
,bispecific T-cell engager antibody AMG 160,nci_alias,NCI_DD_INV,,bispecifictcellengagerantibodyamg160
,half-life extended bispecific T-cell engager antibody AMG 160,nci_alias,NCI_DD_INV,,halflifeextendedbispecifictcellengagerantibodyamg160
,2314491-93-3,nci_alias,NCI_DD_INV,,2314491933
,anti-PSMA/CD3 BiTE antibody AMG 160,nci_alias,NCI_DD_INV,,antipsmacd3biteantibodyamg160
,Acasunlimab,investigational_name,NCI_DD_INV,,acasunlimab
,GEN 1046,nci_alias,NCI_DD_INV,,gen1046
,GEN-1046,nci_alias,NCI_DD_INV,,gen1046
,anti-PD-L1/anti-4-1BB bispecific monoclonal antibody GEN1046,nci_alias,NCI_DD_INV,,antipdl1anti41bbbispecificmonoclonalantibodygen1046
,BNT 311,nci_alias,NCI_DD_INV,,bnt311
,duoBody PD-L1 x 4-1BB GEN1046,nci_alias,NCI_DD_INV,,duobodypdl1x41bbgen1046
,2253937-12-9,nci_alias,NCI_DD_INV,,2253937129
,GEN1046,nci_alias,NCI_DD_INV,,gen1046
,acebilustat,investigational_name,NCI_DD_INV,,acebilustat
,943764-99-6,nci_alias,NCI_DD_INV,,943764996
,CTX-4430,nci_alias,NCI_DD_INV,,ctx4430
,EP-501,nci_alias,NCI_DD_INV,,ep501
,acivicin,investigational_name,NCI_DD_INV,,acivicin
,16796,nci_alias,NCI_DD_INV,,16796
,163501,nci_alias,NCI_DD_INV,,163501
,52583-41-2,nci_alias,NCI_DD_INV,,52583412
,"(S-(R*,R*))-4,5-dihydro-alpha-amino-3-chloro-5-isoxazoleacetic acid",nci_alias,NCI_DD_INV,,srr45dihydroalphaamino3chloro5isoxazoleaceticacid
,42228-92-2,nci_alias,NCI_DD_INV,,42228922
,AT-125,nci_alias,NCI_DD_INV,,at125
,U-42126,nci_alias,NCI_DD_INV,,u42126
,Acolbifene Hydrochloride,investigational_name,NCI_DD_INV,,acolbifenehydrochloride
,"2H-1-benzopyran-7-ol, 3-(4-hydroxyphenyl)-4-methyl-2-[4-[2-(1-piperidinyl)ethoxy] phenyl]-, hydrochloride, (2S)",nci_alias,NCI_DD_INV,,2h1benzopyran7ol3
,EM-652.HCL,nci_alias,NCI_DD_INV,,em652hcl
,SCH 57068.HCl,nci_alias,NCI_DD_INV,,sch57068hcl
,252555-01-4,nci_alias,NCI_DD_INV,,252555014
,acoramidis,investigational_name,NCI_DD_INV,,acoramidis
,AG10,nci_alias,NCI_DD_INV,,ag10
,AG-10,nci_alias,NCI_DD_INV,,ag10
,AG 10,nci_alias,NCI_DD_INV,,ag10
,TTR stabilizer AG10,nci_alias,NCI_DD_INV,,ttrstabilizerag10
,1446711-81-4,nci_alias,NCI_DD_INV,,1446711814
,transthyretin stabilizer AG10,nci_alias,NCI_DD_INV,,transthyretinstabilizerag10
,ALXN 2060,nci_alias,NCI_DD_INV,,alxn2060
,ALXN-2060,nci_alias,NCI_DD_INV,,alxn2060
,ALXN2060,nci_alias,NCI_DD_INV,,alxn2060
,ACSS2 inhibitor MTB-9655,investigational_name,NCI_DD_INV,,acss2inhibitormtb9655
,MTB-9655,nci_alias,NCI_DD_INV,,mtb9655
,acetyl-CoA synthetase 2 inhibitor MTB-9655,nci_alias,NCI_DD_INV,,acetylcoasynthetase2inhibitormtb9655
,MTB9655,nci_alias,NCI_DD_INV,,mtb9655
,MTB 9655,nci_alias,NCI_DD_INV,,mtb9655
,ACTH antagonist CRN04894,investigational_name,NCI_DD_INV,,acthantagonistcrn04894
,CRN04894,nci_alias,NCI_DD_INV,,crn04894
,CRN 04894,nci_alias,NCI_DD_INV,,crn04894
,CRN-04894,nci_alias,NCI_DD_INV,,crn04894
,MC2R antagonist CRN04894,nci_alias,NCI_DD_INV,,mc2rantagonistcrn04894
,actinium Ac 225 DOTATATE RYZ101,investigational_name,NCI_DD_INV,,actiniumac225dotatateryz101
,225Ac-DOTA-TATE RYZ101,nci_alias,NCI_DD_INV,,225acdotatateryz101
,actinium Ac 225-dotatate RYZ101,nci_alias,NCI_DD_INV,,actiniumac225dotatateryz101
,RYZ 101,nci_alias,NCI_DD_INV,,ryz101
,RYZ-101,nci_alias,NCI_DD_INV,,ryz101
,RYZ101,nci_alias,NCI_DD_INV,,ryz101
,225Ac-oxodotreotide,nci_alias,NCI_DD_INV,,225acoxodotreotide
,2864473-30-1,nci_alias,NCI_DD_INV,,2864473301
,actinium Ac 225 FPI-2059,investigational_name,NCI_DD_INV,,actiniumac225fpi2059
,[225Ac]-FPI-2059,nci_alias,NCI_DD_INV,,225acfpi2059
,Ac 225 FPI-2059,nci_alias,NCI_DD_INV,,ac225fpi2059
,225Ac-FPI-2059,nci_alias,NCI_DD_INV,,225acfpi2059
,actinium Ac 225 FPI-2068,investigational_name,NCI_DD_INV,,actiniumac225fpi2068
,225Ac FPI-2068,nci_alias,NCI_DD_INV,,225acfpi2068
,[225Ac]-FPI-2068,nci_alias,NCI_DD_INV,,225acfpi2068
,actinium Ac 225-DOTA-FPI-2053,nci_alias,NCI_DD_INV,,actiniumac225dotafpi2053
,actinium-225 FPI-2068,nci_alias,NCI_DD_INV,,actinium225fpi2068
,FPI 2068,nci_alias,NCI_DD_INV,,fpi2068
,FPI-2068,nci_alias,NCI_DD_INV,,fpi2068
,FPI2068,nci_alias,NCI_DD_INV,,fpi2068
,targeted alpha therapeutic agent FPI-2068,nci_alias,NCI_DD_INV,,targetedalphatherapeuticagentfpi2068
,TAT agent FPI-2068,nci_alias,NCI_DD_INV,,tatagentfpi2068
,actinium Ac 225 lintuzumab,investigational_name,NCI_DD_INV,,actiniumac225lintuzumab
,actinium-225-labeled humanized anti-CD33 monoclonal antibody HuM195,nci_alias,NCI_DD_INV,,actinium225labeledhumanizedanticd33monoclonalantibodyhum195
,Actimab-A,nci_alias,NCI_DD_INV,,actimaba
,SGN-33 AC-225,nci_alias,NCI_DD_INV,,sgn33ac225
,225Ac-HuM195,nci_alias,NCI_DD_INV,,225achum195
,actinium (225Ac) lintuzumab satetraxetan,nci_alias,NCI_DD_INV,,actinium225aclintuzumabsatetraxetan
,2209911-94-2,nci_alias,NCI_DD_INV,,2209911942
,actinium Ac 225 vofatamab,investigational_name,NCI_DD_INV,,actiniumac225vofatamab
,[225Ac]-FPI-1966,nci_alias,NCI_DD_INV,,225acfpi1966
,225Ac-FPI-1966,nci_alias,NCI_DD_INV,,225acfpi1966
,actinium-225 vofatamab,nci_alias,NCI_DD_INV,,actinium225vofatamab
,[225Ac]-vofatamab,nci_alias,NCI_DD_INV,,225acvofatamab
,225Ac-vofatamab,nci_alias,NCI_DD_INV,,225acvofatamab
,actinium Ac 225-DOTA-h11B6 JNJ-69086420,investigational_name,NCI_DD_INV,,actiniumac225dotah11b6jnj69086420
,225Ac-h11B6 JNJ-69086420,nci_alias,NCI_DD_INV,,225ach11b6jnj69086420
,[225Ac]-DOTA-h11B6,nci_alias,NCI_DD_INV,,225acdotah11b6
,JNJ 69086420,nci_alias,NCI_DD_INV,,jnj69086420
,actinium-225-labeled h11B6 JNJ-69086420,nci_alias,NCI_DD_INV,,actinium225labeledh11b6jnj69086420
,JNJ69086420,nci_alias,NCI_DD_INV,,jnj69086420
,JNJ-69086420,nci_alias,NCI_DD_INV,,jnj69086420
,actinium-225-labeled anti-kallikrein-2 h11B6 JNJ-69086420,nci_alias,NCI_DD_INV,,actinium225labeledantikallikrein2h11b6jnj69086420
,actinium Ac 225-DOTA-MTI-201,investigational_name,NCI_DD_INV,,actiniumac225dotamti201
,225Ac-DOTA-MTI-201,nci_alias,NCI_DD_INV,,225acdotamti201
,225Ac-MTI-201,nci_alias,NCI_DD_INV,,225acmti201
,actinium Ac 225 MTI 201,nci_alias,NCI_DD_INV,,actiniumac225mti201
,actinium Ac 225 MTI-201,nci_alias,NCI_DD_INV,,actiniumac225mti201
,actinium Ac 225 MTI201,nci_alias,NCI_DD_INV,,actiniumac225mti201
,actinium-225 Labeled MTI-201,nci_alias,NCI_DD_INV,,actinium225labeledmti201
,actinium Ac 225-FL-020,investigational_name,NCI_DD_INV,,actiniumac225fl020
,[225Ac]-FL-020,nci_alias,NCI_DD_INV,,225acfl020
,[225Ac]Ac-FL-020,nci_alias,NCI_DD_INV,,225acacfl020
,actinium Ac 225 FL-020,nci_alias,NCI_DD_INV,,actiniumac225fl020
,actinium Ac 225-labeled FL-020,nci_alias,NCI_DD_INV,,actiniumac225labeledfl020
,actinium Ac 225-FPI-1434,investigational_name,NCI_DD_INV,,actiniumac225fpi1434
,[225Ac]-FPI-1434,nci_alias,NCI_DD_INV,,225acfpi1434
,FPX01,nci_alias,NCI_DD_INV,,fpx01
,FPX 01,nci_alias,NCI_DD_INV,,fpx01
,FPX-01,nci_alias,NCI_DD_INV,,fpx01
,[Ac-225]-FPI-1434,nci_alias,NCI_DD_INV,,ac225fpi1434
,225Ac-FPI-1434,nci_alias,NCI_DD_INV,,225acfpi1434
,actinium Ac 225-labeled FPI-1434,nci_alias,NCI_DD_INV,,actiniumac225labeledfpi1434
,actinium Ac 225-FPI-1397-FPI-1175,nci_alias,NCI_DD_INV,,actiniumac225fpi1397fpi1175
,FPI-1434,nci_alias,NCI_DD_INV,,fpi1434
,FPI 1434,nci_alias,NCI_DD_INV,,fpi1434
,FPI1434,nci_alias,NCI_DD_INV,,fpi1434
,actinium Ac 225-PSMA-trillium,investigational_name,NCI_DD_INV,,actiniumac225psmatrillium
,225Ac-labeled PSMA-trillium,nci_alias,NCI_DD_INV,,225aclabeledpsmatrillium
,225Ac-PSMA-trillium,nci_alias,NCI_DD_INV,,225acpsmatrillium
,BAY 3563254,nci_alias,NCI_DD_INV,,bay3563254
,BAY-3563254,nci_alias,NCI_DD_INV,,bay3563254
,BAY3563254,nci_alias,NCI_DD_INV,,bay3563254
,activin type IIA receptor Fc fusion protein KER-050,investigational_name,NCI_DD_INV,,activintypeiiareceptorfcfusionproteinker050
,KER-050,nci_alias,NCI_DD_INV,,ker050
,KER050,nci_alias,NCI_DD_INV,,ker050
,KER 050,nci_alias,NCI_DD_INV,,ker050
,activin type 2A receptor Fc fusion protein KER-050,nci_alias,NCI_DD_INV,,activintype2areceptorfcfusionproteinker050
,acyclic nucleoside phosphonate prodrug ABI-1968,investigational_name,NCI_DD_INV,,acyclicnucleosidephosphonateprodrugabi1968
,ABI-1968,nci_alias,NCI_DD_INV,,abi1968
,HTI 1968,nci_alias,NCI_DD_INV,,hti1968
,ABI1968,nci_alias,NCI_DD_INV,,abi1968
,acyclovir,investigational_name,NCI_DD_INV,,acyclovir
,"2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-6H-purin-6-one",nci_alias,NCI_DD_INV,,2amino19dihydro92hydroxyethoxymethyl6hpurin6one
,59277-89-3,nci_alias,NCI_DD_INV,,59277893
,9-[(2-hydroxyethoxy)methyl]guanine,nci_alias,NCI_DD_INV,,92hydroxyethoxymethylguanine
,Acicloftal,nci_alias,NCI_DD_INV,,acicloftal
,aciclovir,nci_alias,NCI_DD_INV,,aciclovir
,Aclovir,nci_alias,NCI_DD_INV,,aclovir
,ACV,nci_alias,NCI_DD_INV,,acv
,acycloguanosine,nci_alias,NCI_DD_INV,,acycloguanosine
,BW-248U,nci_alias,NCI_DD_INV,,bw248u
,Cargosil,nci_alias,NCI_DD_INV,,cargosil
,Virorax,nci_alias,NCI_DD_INV,,virorax
,Wellcome-248U,nci_alias,NCI_DD_INV,,wellcome248u
,Zovirax,nci_alias,NCI_DD_INV,,zovirax
,acylfulvene-derived prodrug LP-184,investigational_name,NCI_DD_INV,,acylfulvenederivedprodruglp184
,alkylating agent prodrug LP-184,nci_alias,NCI_DD_INV,,alkylatingagentprodruglp184
,LP 184,nci_alias,NCI_DD_INV,,lp184
,LP-184,nci_alias,NCI_DD_INV,,lp184
,LP184,nci_alias,NCI_DD_INV,,lp184
,924835-67-6,nci_alias,NCI_DD_INV,,924835676
,Ad-RTS-hIL-12,investigational_name,NCI_DD_INV,,adrtshil12
,adaoviral-rheoswitch therapeutic system-human interleukin 12,nci_alias,NCI_DD_INV,,adaoviralrheoswitchtherapeuticsystemhumaninterleukin12
,INXN-2001,nci_alias,NCI_DD_INV,,inxn2001
,INXN 2001,nci_alias,NCI_DD_INV,,inxn2001
,Ad-sig-hMUC-1/ecdCD40L vaccine,investigational_name,NCI_DD_INV,,adsighmuc1ecdcd40lvaccine
,Ad-sig-hMUC-1/ecdCD40L adenoviral vector vaccine,nci_alias,NCI_DD_INV,,adsighmuc1ecdcd40ladenoviralvectorvaccine
,"Ad5 [E1-, E2b-]-HER2/Neu vaccine ETBX-021",investigational_name,NCI_DD_INV,,ad5e1e2bher2neuvaccineetbx021
,ETBX-021,nci_alias,NCI_DD_INV,,etbx021
,"Ad5 [E1-, E2b-]-HER2/neu vaccine",nci_alias,NCI_DD_INV,,ad5e1e2bher2neuvaccine
,adenovirus type 5 E1/E2b-deleted HER2/neu vaccine ETBX-021,nci_alias,NCI_DD_INV,,adenovirustype5e1e2bdeletedher2neuvaccineetbx021
,2171509-20-7,nci_alias,NCI_DD_INV,,2171509207
,Ad5-encoding IFNg SP-002,investigational_name,NCI_DD_INV,,ad5encodingifngsp002
,adenoviral vector Ad5-hIFNg SP-002,nci_alias,NCI_DD_INV,,adenoviralvectorad5hifngsp002
,adenovirus-5 vector-encoding human interferon gamma SP-002,nci_alias,NCI_DD_INV,,adenovirus5vectorencodinghumaninterferongammasp002
,SP 002,nci_alias,NCI_DD_INV,,sp002
,SP-002,nci_alias,NCI_DD_INV,,sp002
,SP002,nci_alias,NCI_DD_INV,,sp002
,Ad5-SGE-REIC/Dkk-3 MTG-201,investigational_name,NCI_DD_INV,,ad5sgereicdkk3mtg201
,Ad-REIC/dickkopf homolog 3,nci_alias,NCI_DD_INV,,adreicdickkopfhomolog3
,Ad5-SGE-REIC/Dkk3,nci_alias,NCI_DD_INV,,ad5sgereicdkk3
,MTG 201,nci_alias,NCI_DD_INV,,mtg201
,MTG-201,nci_alias,NCI_DD_INV,,mtg201
,MTG201,nci_alias,NCI_DD_INV,,mtg201
,adagloxad simolenin,investigational_name,NCI_DD_INV,,adagloxadsimolenin
,OPT-822,nci_alias,NCI_DD_INV,,opt822
,globo H-KLH immunostimulant OPT-822,nci_alias,NCI_DD_INV,,globohklhimmunostimulantopt822
,OBI-822,nci_alias,NCI_DD_INV,,obi822
,1458687-85-8,nci_alias,NCI_DD_INV,,1458687858
,OBI 822,nci_alias,NCI_DD_INV,,obi822
,OBI822,nci_alias,NCI_DD_INV,,obi822
,adakitug,investigational_name,NCI_DD_INV,,adakitug
